LGACODE,LGA,Year,Deaths,Population
LGA11400,Cabonne (A),2011,100.74859,13196.646
LGA11400,Cabonne (A),2012,95.508822,13396.895
LGA11400,Cabonne (A),2013,90.034447,13507.34
LGA11400,Cabonne (A),2014,98.121243,13617.648
LGA11450,Camden (A),2010,262.84534,56681.224
LGA11450,Camden (A),2011,292.90171,58432.472
LGA11450,Camden (A),2012,256.48458,60643.105
LGA11450,Camden (A),2013,285.76334,63252.236
LGA11450,Camden (A),2014,272.77814,67202.584
LGA11500,Campbelltown (C),2010,735.0107,150513.23
LGA11500,Campbelltown (C),2011,740.66015,151175.37
LGA11500,Campbelltown (C),2012,759.80447,152622.48
LGA11500,Campbelltown (C),2013,804.44366,154444.95
LGA11500,Campbelltown (C),2014,789.3715,156455.04
LGA11520,Canada Bay (A),2010,398.52608,77670.215
LGA11520,Canada Bay (A),2011,405.40224,80064.057
LGA11520,Canada Bay (A),2012,439.84498,82261.023
LGA11520,Canada Bay (A),2013,413.14526,84841.527
LGA11520,Canada Bay (A),2014,464.46416,87396.725
LGA11550,Canterbury (C),2010,777.22348,143979.92
LGA11550,Canterbury (C),2011,849.22984,145088.67
LGA11550,Canterbury (C),2012,748.21218,146830.23
LGA11550,Canterbury (C),2013,782.76989,148633.52
LGA11550,Canterbury (C),2014,824.00657,150430.62
LGA11600,Carrathool (A),2010,22.286219,2689.7796
LGA11600,Carrathool (A),2011,16.128088,2685.6214
LGA11600,Carrathool (A),2012,13.977025,2701.8965
LGA11600,Carrathool (A),2013,16.827576,2693.5058
LGA11600,Carrathool (A),2014,15.021975,2687.4485
LGA11700,Central Darling (A),2010,20.827332,2063.3936
LGA11700,Central Darling (A),2011,10.413666,2072.3196
LGA11700,Central Darling (A),2012,12.645166,2094.6346
LGA11700,Central Darling (A),2013,14.132833,2080.5017
LGA11700,Central Darling (A),2014,11.1575,2074.5511
LGA11720,Cessnock (C),2010,470.11213,51396.192
LGA11720,Cessnock (C),2011,425.21209,52480.664
LGA11720,Cessnock (C),2012,454.39103,53388.871
LGA11720,Cessnock (C),2013,419.31512,54278.88
LGA11720,Cessnock (C),2014,450.51114,54957.707
LGA11730,Clarence Valley (A),2010,445.77153,51009.587
LGA11730,Clarence Valley (A),2011,516.25132,51284.627
LGA11730,Clarence Valley (A),2012,482.42181,51328.546
LGA11730,Clarence Valley (A),2013,522.51143,51026.466
LGA11730,Clarence Valley (A),2014,518.81197,50981.205
LGA11750,Cobar (A),2010,26.95423,4938.6138
