"SSC","$1-$199 ($1-$10,399)","$200-$299 ($10,400-$15,599)","$300-$399 ($15,600-$20,799)","$400-$599 ($20,800-$31,199)","$600-$799 ($31,200-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,999 ($78,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,999 ($208,000-$259,999)","$5,000 or more ($260,000 or more)","Total",
"Crowdy Head",8,9,18,23,11,7,9,3,3,3,5,3,0,0,0,102,
"Crows Nest (NSW)",18,30,54,66,72,74,112,133,225,149,311,125,100,66,112,1647,
"Croydon (NSW)",60,78,158,267,225,240,253,212,379,270,338,231,108,127,99,3045,
"Croydon Park (NSW)",63,122,231,350,285,273,296,305,448,297,314,207,92,93,50,3426,
"Crystal Creek (NSW)",0,6,5,10,22,16,11,13,15,11,8,5,0,0,0,122,
"Cudal",3,11,24,27,23,25,16,18,31,24,14,3,0,0,0,219,
"Cudgen",3,11,13,35,32,33,20,25,29,32,23,14,3,0,8,281,
"Cudgera Creek",3,0,10,9,12,11,9,9,18,12,11,4,0,0,0,108,
"Cudmirrah",7,3,19,24,9,11,8,5,11,7,3,0,0,0,0,107,
"Culburra Beach",22,29,138,195,142,120,99,64,88,31,37,15,5,3,6,994,
"Culcairn",16,10,55,74,70,61,46,35,40,28,16,7,3,0,0,461,
"Cullen Bullen",0,3,4,10,7,3,3,7,6,3,6,0,0,0,0,52,
"Cumbalum",0,6,21,21,27,44,28,39,52,47,31,19,8,0,0,343,
"Cumberland Reach",0,0,0,7,0,0,12,3,12,9,0,3,0,4,0,50,
"Cumboogle",3,0,0,6,5,6,12,5,16,8,9,4,3,0,3,80,
"Cumborah",9,16,48,27,18,14,13,6,4,0,3,0,0,0,0,158,
"Cumnock",4,4,20,34,27,29,17,13,17,7,12,7,0,0,0,191,
"Cundletown",17,19,65,110,96,61,79,60,68,35,21,11,5,0,7,654,
"Cunjurong Point",3,6,14,8,8,15,8,3,0,3,0,0,0,0,0,68,
"Curl Curl",13,8,22,43,37,46,53,36,71,54,103,77,35,41,59,698,
"Curlewis (NSW)",9,7,18,48,37,26,26,28,42,9,13,12,0,0,5,280,
"Curlwaa",3,3,13,23,18,6,16,18,15,10,8,4,0,3,0,140,
"Currabubula",3,3,8,23,15,9,13,8,15,4,7,4,0,0,0,112,
"Curramore (NSW)",4,4,0,4,3,5,6,0,11,4,9,4,6,3,7,70,
"Currans Hill",10,17,44,77,83,112,153,134,294,228,142,101,32,28,8,1463,
"Currarong",8,6,15,22,25,11,14,7,16,5,11,7,0,3,3,153,
"Currawarna",0,4,6,9,19,4,5,15,9,5,0,0,0,0,0,76,
"Daceyville",21,75,105,77,47,22,24,17,24,7,13,12,3,4,0,451,
"Daleys Point",7,6,26,33,32,25,12,7,19,15,26,6,4,0,4,222,
"Dalgety",0,5,9,10,7,4,8,6,9,5,4,5,3,0,0,75,
"Dalmeny",13,32,95,144,114,72,69,34,51,26,17,12,0,0,0,679,
"Dalton",3,3,3,3,4,3,4,3,0,3,5,0,0,0,0,34,
"Dalwood (Ballina - NSW)",0,5,0,4,8,16,4,12,17,8,4,6,0,0,0,84,
"Dandry",3,5,7,13,4,5,4,3,3,0,0,0,0,0,0,47,
"Dangar Island",0,0,11,7,14,14,9,14,9,5,13,4,7,0,0,107,
"Dapto",52,101,315,470,403,345,331,316,476,318,184,123,50,20,15,3519,
"Darawank",0,4,21,19,12,15,6,13,11,3,3,3,0,0,0,110,
"Darbys Falls",3,8,11,19,11,10,14,12,14,11,0,0,0,0,0,113,
"Dareton",6,5,28,31,24,25,21,9,19,8,4,0,0,0,0,180,
"Dargan",0,0,8,9,6,4,0,3,7,0,3,0,0,0,0,40,
"Darkes Forest",3,0,3,4,3,8,3,0,6,4,4,3,0,3,4,48,
"Darkwood",6,10,18,23,12,9,9,9,0,0,0,3,0,0,0,99,
"Darling Point",24,24,48,66,70,88,112,110,171,77,370,135,87,93,172,1647,
"Darlinghurst",51,148,163,233,248,276,330,327,552,296,837,251,216,183,279,4390,
"Darlington (Singleton - NSW)",0,0,10,26,13,11,16,21,22,22,33,7,5,4,0,190,
"Darlington (Sydney - NSW)",24,28,25,46,35,44,46,51,93,65,82,67,35,27,26,694,
"Darlington Point",8,19,27,50,50,59,36,32,45,26,16,3,3,0,0,374,
"Daruka",0,3,5,8,13,20,19,16,33,44,15,35,3,10,3,227,
"Davidson",6,0,10,26,35,27,52,43,76,74,105,89,48,50,30,671,
"Davistown",22,22,83,128,96,80,83,57,101,51,40,31,15,15,8,832,
"Dawes Point",0,11,21,6,12,6,6,5,8,11,47,20,12,12,42,219,
"Dean Park",7,14,34,57,66,62,78,107,130,114,73,24,18,15,0,799,
"Dee Why",103,161,405,634,535,680,733,750,1152,868,731,429,206,171,129,7687,
"Deepwater (NSW)",3,3,19,29,20,11,10,10,6,0,0,0,0,0,0,111,
"Deer Vale",5,5,9,16,19,11,5,9,6,0,3,0,0,0,0,88,
"Delegate",12,17,18,25,31,15,19,7,15,4,5,0,3,0,0,171,
"Delroy Heights",6,0,12,16,16,15,12,3,24,18,14,7,0,0,0,143,
"Delungra",3,13,24,36,35,25,7,14,8,11,7,0,0,0,3,186,
"Denham Court",10,7,10,27,21,19,16,11,46,30,36,28,25,16,24,326,
"Denhams Beach",3,9,14,30,24,26,19,10,12,13,11,0,0,0,3,174,
"Deniliquin",58,119,316,402,339,289,240,239,298,182,104,55,16,18,10,2685,
"Denistone",9,11,28,41,59,59,68,70,125,109,154,106,58,63,53,1013,
"Denistone East",8,10,20,40,43,50,38,45,63,63,80,69,30,28,25,612,
"Denistone West",4,3,12,19,16,19,8,23,36,22,35,19,12,19,16,263,
"Denman",10,17,60,63,56,51,41,49,87,34,71,41,15,8,9,612,
"Deua River Valley",4,4,7,14,14,13,5,14,7,8,4,0,4,0,0,98,
"Dharruk",12,13,37,75,65,71,92,63,101,68,46,29,9,4,0,685,
"Diamond Beach",4,7,16,36,33,28,30,30,40,22,17,11,0,3,0,277,
"Dignams Creek",3,3,11,6,9,14,3,3,3,0,0,0,0,0,3,58,
"Dolans Bay",0,0,0,4,10,5,15,12,13,13,24,16,8,11,10,141,
"Dolls Point",17,27,40,71,81,61,83,81,92,58,73,33,12,8,14,751,
"Dolphin Point",0,3,11,16,12,11,9,3,3,0,3,4,0,0,0,75,
"Dondingalong",9,8,20,45,34,20,28,14,21,15,8,3,0,0,0,225,
"Doonbah",3,0,9,36,15,11,14,5,0,5,0,0,0,0,0,98,
"Doonside",85,161,308,402,335,311,355,321,458,364,217,123,52,54,16,3562,
"Dooralong",5,0,3,3,7,12,14,10,10,15,7,9,4,0,5,104,
"Dora Creek",12,16,53,95,68,70,43,43,79,47,28,13,11,12,4,594,
"Dorrigo",19,24,81,91,95,65,43,40,47,17,12,0,3,0,4,541,
"Double Bay",19,24,62,91,79,118,99,112,198,109,363,153,86,93,143,1749,
"Doubtful Creek",3,6,11,15,10,13,9,3,11,0,4,0,0,0,0,85,
"Douglas Park",9,3,10,15,27,30,26,32,56,44,31,30,15,15,4,347,
"Dover Heights",13,14,33,50,53,51,56,66,118,90,179,122,82,79,118,1124,
"Downside",0,3,3,5,10,16,12,11,14,13,12,12,3,3,4,121,
"Doyalson",3,3,4,8,11,7,11,11,6,12,3,0,0,0,0,79,
"Doyalson North",9,12,33,84,29,25,9,0,4,4,3,5,0,0,0,217,
"Drake",13,17,29,28,20,13,11,3,6,0,0,0,0,0,0,140,
