"SSC","$1-$199 ($1-$10,399)","$200-$299 ($10,400-$15,599)","$300-$399 ($15,600-$20,799)","$400-$599 ($20,800-$31,199)","$600-$799 ($31,200-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,999 ($78,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,999 ($208,000-$259,999)","$5,000 or more ($260,000 or more)","Total",
"Stonyfell",3,4,9,12,23,27,14,29,37,38,70,40,19,20,17,362,
"Strathalbyn (SA)",42,53,159,318,261,217,205,185,247,168,109,51,21,9,13,2058,
"Streaky Bay",20,25,56,91,78,57,36,48,55,39,22,14,6,3,5,555,
"Sturt (SA)",23,43,125,142,121,95,65,62,82,68,41,10,6,10,3,896,
"Summertown",0,0,5,15,16,14,14,17,35,30,28,9,12,8,3,206,
"Sunlands",4,3,26,51,27,21,23,24,17,12,4,0,0,0,0,212,
"Sunnyside (SA)",9,5,20,26,24,23,20,22,19,9,8,0,0,0,0,185,
"Surrey Downs",4,25,61,115,133,107,141,104,201,135,71,36,12,6,3,1154,
"Suttontown",3,0,6,5,13,13,13,14,18,23,13,13,0,3,3,140,
"Swanport",0,0,4,4,6,15,6,8,15,13,7,3,4,3,0,88,
"Tailem Bend",17,24,74,137,116,61,60,49,65,24,4,6,0,0,3,640,
"Taldra",0,0,0,8,0,0,5,0,5,0,0,0,0,0,0,18,
"Tantanoola",7,7,13,22,13,23,28,10,24,22,8,3,3,0,0,183,
"Tanunda",27,46,157,209,160,186,174,141,227,166,127,88,26,26,11,1771,
"Taperoo",27,96,169,188,151,100,111,89,116,61,38,20,5,3,0,1174,
"Taplan",0,3,0,6,4,6,3,5,9,0,0,4,0,0,0,40,
"Tarlee",0,5,11,12,15,17,11,4,5,6,9,0,0,4,0,99,
"Tarpeena",3,7,13,20,28,19,15,11,6,4,3,0,0,0,0,129,
"Tatachilla",4,0,0,6,12,5,6,3,10,4,13,3,0,0,0,66,
